YYYY;MM;DD;qobs;qc_flag
1953;6;25;482.38;40.0
1953;6;26;482.38;40.0
1953;6;27;373.3;40.0
1953;6;28;332.94;40.0
1953;6;29;332.94;40.0
1953;6;30;332.94;40.0
1953;7;1;332.94;40.0
1953;7;2;310.29;40.0
1953;7;3;291.4;40.0
1953;7;4;229.22;40.0
1953;7;5;276.04;40.0
1953;7;6;276.04;40.0
1953;7;7;237.73;40.0
1953;7;8;204.49;40.0
1953;7;9;196.5;40.0
1953;7;10;188.65;40.0
1953;7;11;185.32;40.0
1953;7;12;182.02;40.0
1953;7;13;175.5;40.0
1953;7;14;169.09;40.0
1953;7;15;162.78;40.0
1953;7;16;166.97;40.0
1953;7;17;171.22;40.0
1953;7;18;175.5;40.0
1953;7;19;178.75;40.0
1953;7;20;176.58;40.0
1953;7;21;174.43;40.0
1953;7;22;172.28;40.0
1953;7;23;162.78;40.0
1953;7;24;153.51;40.0
1953;7;25;145.48;40.0
1953;7;26;137.63;40.0
1953;7;27;138.6;40.0
1953;7;28;140.55;40.0
1953;7;29;141.53;40.0
1953;7;30;148.47;40.0
1953;7;31;155.55;40.0
1953;8;1;162.78;40.0
1953;8;2;171.22;40.0
1953;8;3;184.22;40.0
1953;8;4;204.49;40.0
1953;8;5;232.04;40.0
1953;8;6;249.26;40.0
1953;8;7;269.99;40.0
1953;8;8;291.4;40.0
1953;8;9;497.79;40.0
1953;8;10;486.21;40.0
1953;8;11;474.75;40.0
1953;8;12;463.4;40.0
1953;8;13;474.75;40.0
1953;8;14;486.21;40.0
1953;8;15;441.04;40.0
1953;8;16;401.25;40.0
1953;8;17;383.68;40.0
1953;8;18;366.44;40.0
1953;8;19;346.18;40.0
1953;8;20;313.49;40.0
1953;8;21;285.22;40.0
1953;8;22;258.06;40.0
1953;8;23;232.04;40.0
1953;8;24;226.42;40.0
1953;8;25;218.08;40.0
1953;8;26;209.88;40.0
1953;8;27;209.88;40.0
1953;8;28;185.32;40.0
1953;8;29;174.43;40.0
1953;8;30;162.78;40.0
1953;8;31;157.6;40.0
1953;9;1;152.5;40.0
1953;9;2;147.47;40.0
1953;9;3;147.47;40.0
1953;9;4;147.47;40.0
1953;9;5;541.2;40.0
1953;9;6;339.53;40.0
1953;9;7;232.04;40.0
1953;9;8;196.5;40.0
1953;9;9;178.75;40.0
1953;9;10;179.84;40.0
1953;9;11;180.93;40.0
1953;9;12;182.02;40.0
1953;9;13;184.22;40.0
1953;9;14;182.02;40.0
1953;9;15;179.84;40.0
1953;9;16;177.67;40.0
1953;9;17;177.67;40.0
1953;9;18;177.67;40.0
1953;9;19;177.67;40.0
1953;9;20;165.92;40.0
1953;9;21;168.03;40.0
1953;9;22;170.15;40.0
1953;9;23;171.22;40.0
1953;9;24;171.22;40.0
1953;9;25;171.22;40.0
1953;9;26;232.04;40.0
1953;9;27;332.94;40.0
1953;9;28;288.3;40.0
1953;9;29;246.36;40.0
1953;9;30;204.49;40.0
1953;10;1;186.43;40.0
1953;10;2;177.67;40.0
1953;10;3;169.09;40.0
1953;10;4;160.7;40.0
1953;10;5;146.47;40.0
1953;10;6;132.83;40.0
1953;10;7;118.86;40.0
1953;10;8;113.47;40.0
1953;10;9;108.19;40.0
1953;10;10;103.02;40.0
1953;10;11;97.13;40.0
1953;10;12;96.3;40.0
1953;10;13;95.47;40.0
1953;10;14;94.65;40.0
1953;10;15;162.78;40.0
1953;10;16;490.06;40.0
1953;10;17;490.06;40.0
1953;10;18;493.92;40.0
1953;10;19;397.71;40.0
1953;10;20;307.11;40.0
1953;10;21;212.6;40.0
